"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2887","should work on mobile devices","Mobile Chrome","Fri Aug 15 13:21:31 BST 2025","passed","Fri Aug 15 13:21:34 BST 2025","Data Processing Page","data.spec.js","",""
"","2351","should sort data","Mobile Chrome","Fri Aug 15 13:21:24 BST 2025","passed","Fri Aug 15 13:21:26 BST 2025","Data Processing Page","data.spec.js","",""
"","2127","should square data values","firefox","Fri Aug 15 13:18:05 BST 2025","passed","Fri Aug 15 13:18:07 BST 2025","Data Processing Page","data.spec.js","",""
"","773","should work correctly in firefox","webkit","Fri Aug 15 13:20:35 BST 2025","skipped","Fri Aug 15 13:20:36 BST 2025","Cross-Browser and Visual Testing > Cross-Browser Compatibility","visual.spec.js","",""
"","1905","should display correctly on mobile","firefox","Fri Aug 15 13:18:36 BST 2025","passed","Fri Aug 15 13:18:38 BST 2025","Cross-Browser and Visual Testing > Responsive Design Testing","visual.spec.js","",""
"","8994","should clear data","firefox","Fri Aug 15 13:17:52 BST 2025","broken","Fri Aug 15 13:18:01 BST 2025","Data Processing Page","data.spec.js","",""
"","1736","should clear display","Mobile Chrome","Fri Aug 15 13:21:08 BST 2025","passed","Fri Aug 15 13:21:10 BST 2025","Calculator Page","calculator.spec.js","",""
"","1784","should display calculator interface","chromium","Fri Aug 15 13:16:36 BST 2025","passed","Fri Aug 15 13:16:38 BST 2025","Calculator Page","calculator.spec.js","",""
"","893","should display user management interface","Mobile Chrome","Fri Aug 15 13:21:35 BST 2025","passed","Fri Aug 15 13:21:36 BST 2025","User Management Page","users.spec.js","",""
"","3477","should display chart after processing","Mobile Chrome","Fri Aug 15 13:21:29 BST 2025","failed","Fri Aug 15 13:21:32 BST 2025","Data Processing Page","data.spec.js","",""
"","5757","should record complete data analysis session","Mobile Chrome","Fri Aug 15 13:21:34 BST 2025","failed","Fri Aug 15 13:21:40 BST 2025","Data Processing Page","data.spec.js","",""
"","3585","should handle complex data processing workflow","Mobile Chrome","Fri Aug 15 13:21:30 BST 2025","failed","Fri Aug 15 13:21:33 BST 2025","Data Processing Page","data.spec.js","",""
"","2205","should create a new user","chromium","Fri Aug 15 13:16:56 BST 2025","passed","Fri Aug 15 13:16:59 BST 2025","User Management Page","users.spec.js","",""
"","3530","should handle keyboard input","webkit","Fri Aug 15 13:19:10 BST 2025","passed","Fri Aug 15 13:19:13 BST 2025","Calculator Page","calculator.spec.js","",""
"","1914","should perform basic subtraction","Mobile Chrome","Fri Aug 15 13:21:05 BST 2025","passed","Fri Aug 15 13:21:06 BST 2025","Calculator Page","calculator.spec.js","",""
"","1362","should sort data","chromium","Fri Aug 15 13:16:50 BST 2025","passed","Fri Aug 15 13:16:51 BST 2025","Data Processing Page","data.spec.js","",""
"","3012","should display correctly on desktop","Mobile Safari","Fri Aug 15 13:22:44 BST 2025","passed","Fri Aug 15 13:22:47 BST 2025","Cross-Browser and Visual Testing > Responsive Design Testing","visual.spec.js","",""
"","2295","should work on mobile devices","chromium","Fri Aug 15 13:16:42 BST 2025","passed","Fri Aug 15 13:16:45 BST 2025","Calculator Page","calculator.spec.js","",""
"","2783","should calculate square","firefox","Fri Aug 15 13:17:29 BST 2025","passed","Fri Aug 15 13:17:32 BST 2025","Calculator Page","calculator.spec.js","",""
"","9543","should complete full testing workflow with video recording","firefox","Fri Aug 15 13:18:45 BST 2025","broken","Fri Aug 15 13:18:54 BST 2025","Cross-Browser and Visual Testing > Complete User Journeys","visual.spec.js","",""
"","1767","should handle empty data input","Mobile Safari","Fri Aug 15 13:22:21 BST 2025","passed","Fri Aug 15 13:22:23 BST 2025","Data Processing Page","data.spec.js","",""
"","5675","should filter data by threshold","webkit","Fri Aug 15 13:19:45 BST 2025","passed","Fri Aug 15 13:19:51 BST 2025","Data Processing Page","data.spec.js","",""
"","2951","should display chart after processing","firefox","Fri Aug 15 13:18:08 BST 2025","passed","Fri Aug 15 13:18:11 BST 2025","Data Processing Page","data.spec.js","",""
"","3283","should take consistent user management screenshots","chromium","Fri Aug 15 13:17:07 BST 2025","failed","Fri Aug 15 13:17:10 BST 2025","Cross-Browser and Visual Testing > Visual Regression Testing","visual.spec.js","",""
"","5953","should perform basic multiplication","Mobile Safari","Fri Aug 15 13:21:59 BST 2025","broken","Fri Aug 15 13:22:05 BST 2025","Calculator Page","calculator.spec.js","",""
"","5667","should validate data","firefox","Fri Aug 15 13:18:00 BST 2025","passed","Fri Aug 15 13:18:06 BST 2025","Data Processing Page","data.spec.js","",""
"","3126","should process data and show statistics","Mobile Safari","Fri Aug 15 13:22:18 BST 2025","passed","Fri Aug 15 13:22:21 BST 2025","Data Processing Page","data.spec.js","",""
"","5468","should navigate to calculator from feature card","webkit","Fri Aug 15 13:19:25 BST 2025","failed","Fri Aug 15 13:19:30 BST 2025","Dashboard Page","dashboard.spec.js","",""
"","3562","should display data processing interface","webkit","Fri Aug 15 13:19:32 BST 2025","passed","Fri Aug 15 13:19:35 BST 2025","Data Processing Page","data.spec.js","",""
"","2436","should search users","chromium","Fri Aug 15 13:16:59 BST 2025","passed","Fri Aug 15 13:17:01 BST 2025","User Management Page","users.spec.js","",""
"","7949","should search users","webkit","Fri Aug 15 13:20:17 BST 2025","broken","Fri Aug 15 13:20:24 BST 2025","User Management Page","users.spec.js","",""
"","7244","should take consistent calculator screenshots","webkit","Fri Aug 15 13:20:43 BST 2025","broken","Fri Aug 15 13:20:50 BST 2025","Cross-Browser and Visual Testing > Visual Regression Testing","visual.spec.js","",""
"","6474","should handle complex data processing workflow","Mobile Safari","Fri Aug 15 13:22:23 BST 2025","broken","Fri Aug 15 13:22:29 BST 2025","Data Processing Page","data.spec.js","",""
"","5282","should handle decimal numbers","Mobile Chrome","Fri Aug 15 13:21:08 BST 2025","passed","Fri Aug 15 13:21:13 BST 2025","Calculator Page","calculator.spec.js","",""
"","4272","should complete full testing workflow with video recording","Mobile Chrome","Fri Aug 15 13:21:57 BST 2025","failed","Fri Aug 15 13:22:01 BST 2025","Cross-Browser and Visual Testing > Complete User Journeys","visual.spec.js","",""
"","1886","should perform basic division","chromium","Fri Aug 15 13:16:38 BST 2025","passed","Fri Aug 15 13:16:40 BST 2025","Calculator Page","calculator.spec.js","",""
"","6096","should perform basic addition","Mobile Safari","Fri Aug 15 13:21:58 BST 2025","broken","Fri Aug 15 13:22:04 BST 2025","Calculator Page","calculator.spec.js","",""
"","1627","should navigate to calculator from feature card","Mobile Safari","Fri Aug 15 13:22:14 BST 2025","passed","Fri Aug 15 13:22:16 BST 2025","Dashboard Page","dashboard.spec.js","",""
"","7432","should handle backspace","webkit","Fri Aug 15 13:19:03 BST 2025","broken","Fri Aug 15 13:19:10 BST 2025","Calculator Page","calculator.spec.js","",""
"","1085","should be keyboard navigable","Mobile Chrome","Fri Aug 15 13:21:54 BST 2025","passed","Fri Aug 15 13:21:55 BST 2025","Cross-Browser and Visual Testing > Accessibility Testing","visual.spec.js","",""
"","8610","should work on mobile devices","firefox","Fri Aug 15 13:17:35 BST 2025","broken","Fri Aug 15 13:17:44 BST 2025","Calculator Page","calculator.spec.js","",""
"","5936","should record video of complete user workflow","Mobile Chrome","Fri Aug 15 13:21:43 BST 2025","broken","Fri Aug 15 13:21:49 BST 2025","User Management Page","users.spec.js","",""
"","953","should work correctly in chromium","webkit","Fri Aug 15 13:20:34 BST 2025","skipped","Fri Aug 15 13:20:35 BST 2025","Cross-Browser and Visual Testing > Cross-Browser Compatibility","visual.spec.js","",""
"","690","should display feature cards","Mobile Chrome","Fri Aug 15 13:21:18 BST 2025","passed","Fri Aug 15 13:21:19 BST 2025","Dashboard Page","dashboard.spec.js","",""
"","1973","should have proper accessibility attributes","chromium","Fri Aug 15 13:17:12 BST 2025","passed","Fri Aug 15 13:17:14 BST 2025","Cross-Browser and Visual Testing > Accessibility Testing","visual.spec.js","",""
"","3263","should take consistent user management screenshots","Mobile Chrome","Fri Aug 15 13:21:50 BST 2025","failed","Fri Aug 15 13:21:53 BST 2025","Cross-Browser and Visual Testing > Visual Regression Testing","visual.spec.js","",""
"","3990","should clear display","Mobile Safari","Fri Aug 15 13:22:05 BST 2025","failed","Fri Aug 15 13:22:09 BST 2025","Calculator Page","calculator.spec.js","",""
"","178","should work correctly in webkit","chromium","Fri Aug 15 13:17:05 BST 2025","skipped","Fri Aug 15 13:17:05 BST 2025","Cross-Browser and Visual Testing > Cross-Browser Compatibility","visual.spec.js","",""
"","1322","should display dashboard title and navigation","chromium","Fri Aug 15 13:16:45 BST 2025","passed","Fri Aug 15 13:16:46 BST 2025","Dashboard Page","dashboard.spec.js","",""
"","3402","should display calculation history","chromium","Fri Aug 15 13:16:41 BST 2025","passed","Fri Aug 15 13:16:45 BST 2025","Calculator Page","calculator.spec.js","",""
"","6905","should take consistent dashboard screenshots","webkit","Fri Aug 15 13:20:40 BST 2025","failed","Fri Aug 15 13:20:47 BST 2025","Cross-Browser and Visual Testing > Visual Regression Testing","visual.spec.js","",""
"","6384","should handle decimal numbers","Mobile Safari","Fri Aug 15 13:22:02 BST 2025","broken","Fri Aug 15 13:22:09 BST 2025","Calculator Page","calculator.spec.js","",""
"","1424","should open add user modal","Mobile Safari","Fri Aug 15 13:22:27 BST 2025","passed","Fri Aug 15 13:22:29 BST 2025","User Management Page","users.spec.js","",""
"","4100","should record complete data analysis session","chromium","Fri Aug 15 13:16:53 BST 2025","passed","Fri Aug 15 13:16:57 BST 2025","Data Processing Page","data.spec.js","",""
"","4779","should handle division by zero error","firefox","Fri Aug 15 13:17:33 BST 2025","passed","Fri Aug 15 13:17:38 BST 2025","Calculator Page","calculator.spec.js","",""
"","6497","should load pages within performance budgets","webkit","Fri Aug 15 13:20:50 BST 2025","passed","Fri Aug 15 13:20:57 BST 2025","Cross-Browser and Visual Testing > Performance and Loading Tests","visual.spec.js","",""
"","2657","should be responsive on mobile","Mobile Chrome","Fri Aug 15 13:21:43 BST 2025","passed","Fri Aug 15 13:21:46 BST 2025","User Management Page","users.spec.js","",""
"","4857","should test API integration","Mobile Chrome","Fri Aug 15 13:21:13 BST 2025","passed","Fri Aug 15 13:21:18 BST 2025","Calculator Page","calculator.spec.js","",""
"","8296","should record video of complete user workflow","firefox","Fri Aug 15 13:18:26 BST 2025","broken","Fri Aug 15 13:18:35 BST 2025","User Management Page","users.spec.js","",""
"","2229","should take consistent calculator screenshots","Mobile Chrome","Fri Aug 15 13:21:48 BST 2025","failed","Fri Aug 15 13:21:50 BST 2025","Cross-Browser and Visual Testing > Visual Regression Testing","visual.spec.js","",""
"","2675","should load pages within performance budgets","Mobile Chrome","Fri Aug 15 13:21:52 BST 2025","passed","Fri Aug 15 13:21:55 BST 2025","Cross-Browser and Visual Testing > Performance and Loading Tests","visual.spec.js","",""
"","5141","should take consistent calculator screenshots","chromium","Fri Aug 15 13:17:06 BST 2025","failed","Fri Aug 15 13:17:11 BST 2025","Cross-Browser and Visual Testing > Visual Regression Testing","visual.spec.js","",""
"","2969","should work on mobile devices","Mobile Safari","Fri Aug 15 13:22:23 BST 2025","passed","Fri Aug 15 13:22:26 BST 2025","Data Processing Page","data.spec.js","",""
"","1235","should handle invalid data input","chromium","Fri Aug 15 13:16:51 BST 2025","passed","Fri Aug 15 13:16:52 BST 2025","Data Processing Page","data.spec.js","",""
"","3103","should filter users by status","Mobile Safari","Fri Aug 15 13:22:31 BST 2025","passed","Fri Aug 15 13:22:34 BST 2025","User Management Page","users.spec.js","",""
"","2281","should display correctly on tablet","Mobile Chrome","Fri Aug 15 13:21:51 BST 2025","passed","Fri Aug 15 13:21:54 BST 2025","Cross-Browser and Visual Testing > Responsive Design Testing","visual.spec.js","",""
"","8329","should perform basic subtraction","firefox","Fri Aug 15 13:17:15 BST 2025","broken","Fri Aug 15 13:17:24 BST 2025","Calculator Page","calculator.spec.js","",""
"","1346","should be responsive on mobile","firefox","Fri Aug 15 13:17:45 BST 2025","passed","Fri Aug 15 13:17:46 BST 2025","Dashboard Page","dashboard.spec.js","",""
"","2401","should take consistent calculator screenshots","Mobile Safari","Fri Aug 15 13:22:39 BST 2025","failed","Fri Aug 15 13:22:42 BST 2025","Cross-Browser and Visual Testing > Visual Regression Testing","visual.spec.js","",""
"","2432","should handle empty data input","firefox","Fri Aug 15 13:18:07 BST 2025","passed","Fri Aug 15 13:18:10 BST 2025","Data Processing Page","data.spec.js","",""
"","3428","should delete a user","firefox","Fri Aug 15 13:18:18 BST 2025","passed","Fri Aug 15 13:18:21 BST 2025","User Management Page","users.spec.js","",""
"","1363","should calculate square","chromium","Fri Aug 15 13:16:41 BST 2025","passed","Fri Aug 15 13:16:42 BST 2025","Calculator Page","calculator.spec.js","",""
"","1821","should load sample data sets","chromium","Fri Aug 15 13:16:48 BST 2025","passed","Fri Aug 15 13:16:50 BST 2025","Data Processing Page","data.spec.js","",""
"","9589","should handle complex data processing workflow","webkit","Fri Aug 15 13:19:57 BST 2025","broken","Fri Aug 15 13:20:06 BST 2025","Data Processing Page","data.spec.js","",""
"","1555","should navigate to data processing from feature card","Mobile Safari","Fri Aug 15 13:22:16 BST 2025","passed","Fri Aug 15 13:22:17 BST 2025","Dashboard Page","dashboard.spec.js","",""
"","2014","should sort data","Mobile Safari","Fri Aug 15 13:22:19 BST 2025","passed","Fri Aug 15 13:22:21 BST 2025","Data Processing Page","data.spec.js","",""
"","688","should handle keyboard input","Mobile Chrome","Fri Aug 15 13:21:12 BST 2025","passed","Fri Aug 15 13:21:13 BST 2025","Calculator Page","calculator.spec.js","",""
"","1181","should handle empty data input","chromium","Fri Aug 15 13:16:51 BST 2025","passed","Fri Aug 15 13:16:52 BST 2025","Data Processing Page","data.spec.js","",""
"","5074","should record complete data analysis session","Mobile Safari","Fri Aug 15 13:22:26 BST 2025","passed","Fri Aug 15 13:22:31 BST 2025","Data Processing Page","data.spec.js","",""
"","3092","should have working navigation links","Mobile Safari","Fri Aug 15 13:22:13 BST 2025","passed","Fri Aug 15 13:22:16 BST 2025","Dashboard Page","dashboard.spec.js","",""
"","2741","should be responsive on mobile","webkit","Fri Aug 15 13:19:30 BST 2025","passed","Fri Aug 15 13:19:33 BST 2025","Dashboard Page","dashboard.spec.js","",""
"","6496","should handle data transformations with error cases","chromium","Fri Aug 15 13:16:52 BST 2025","broken","Fri Aug 15 13:16:59 BST 2025","Data Processing Page","data.spec.js","",""
"","950","should have proper accessibility attributes","Mobile Chrome","Fri Aug 15 13:21:22 BST 2025","passed","Fri Aug 15 13:21:23 BST 2025","Dashboard Page","dashboard.spec.js","",""
"","4221","should display user management interface","firefox","Fri Aug 15 13:18:13 BST 2025","passed","Fri Aug 15 13:18:18 BST 2025","User Management Page","users.spec.js","",""
"","8822","should record complete data analysis session","firefox","Fri Aug 15 13:18:13 BST 2025","broken","Fri Aug 15 13:18:21 BST 2025","Data Processing Page","data.spec.js","",""
"","1913","should handle network failures gracefully","Mobile Chrome","Fri Aug 15 13:21:55 BST 2025","passed","Fri Aug 15 13:21:57 BST 2025","Cross-Browser and Visual Testing > Error Handling and Edge Cases","visual.spec.js","",""
"","2423","should handle division by zero error","Mobile Safari","Fri Aug 15 13:22:10 BST 2025","passed","Fri Aug 15 13:22:13 BST 2025","Calculator Page","calculator.spec.js","",""
"","7523","should edit an existing user","webkit","Fri Aug 15 13:20:11 BST 2025","broken","Fri Aug 15 13:20:18 BST 2025","User Management Page","users.spec.js","",""
"","2855","should filter users by status","chromium","Fri Aug 15 13:17:00 BST 2025","passed","Fri Aug 15 13:17:03 BST 2025","User Management Page","users.spec.js","",""
"","4476","should handle complex data processing workflow","chromium","Fri Aug 15 13:16:52 BST 2025","passed","Fri Aug 15 13:16:56 BST 2025","Data Processing Page","data.spec.js","",""
"","7095","should test API integration","webkit","Fri Aug 15 13:19:13 BST 2025","failed","Fri Aug 15 13:19:20 BST 2025","Calculator Page","calculator.spec.js","",""
"","2688","should have proper accessibility attributes","firefox","Fri Aug 15 13:18:41 BST 2025","passed","Fri Aug 15 13:18:43 BST 2025","Cross-Browser and Visual Testing > Accessibility Testing","visual.spec.js","",""
"","8435","should record video of complete user workflow","webkit","Fri Aug 15 13:20:33 BST 2025","broken","Fri Aug 15 13:20:42 BST 2025","User Management Page","users.spec.js","",""
"","1271","should have proper accessibility attributes","Mobile Safari","Fri Aug 15 13:22:17 BST 2025","passed","Fri Aug 15 13:22:18 BST 2025","Dashboard Page","dashboard.spec.js","",""
"","2515","should navigate to calculator from feature card","Mobile Chrome","Fri Aug 15 13:21:19 BST 2025","passed","Fri Aug 15 13:21:21 BST 2025","Dashboard Page","dashboard.spec.js","",""
"","9413","should perform basic addition","firefox","Fri Aug 15 13:17:15 BST 2025","broken","Fri Aug 15 13:17:25 BST 2025","Calculator Page","calculator.spec.js","",""
"","3636","should have working navigation links","firefox","Fri Aug 15 13:17:40 BST 2025","passed","Fri Aug 15 13:17:43 BST 2025","Dashboard Page","dashboard.spec.js","",""
"","1073","should navigate to data processing from feature card","chromium","Fri Aug 15 13:16:47 BST 2025","passed","Fri Aug 15 13:16:48 BST 2025","Dashboard Page","dashboard.spec.js","",""
"","1583","should be responsive on mobile","Mobile Safari","Fri Aug 15 13:22:16 BST 2025","passed","Fri Aug 15 13:22:17 BST 2025","Dashboard Page","dashboard.spec.js","",""
"","429","should work correctly in firefox","chromium","Fri Aug 15 13:17:05 BST 2025","skipped","Fri Aug 15 13:17:06 BST 2025","Cross-Browser and Visual Testing > Cross-Browser Compatibility","visual.spec.js","",""
"","3506","should work correctly in chromium","chromium","Fri Aug 15 13:17:05 BST 2025","passed","Fri Aug 15 13:17:08 BST 2025","Cross-Browser and Visual Testing > Cross-Browser Compatibility","visual.spec.js","",""
"","1742","should be keyboard navigable","firefox","Fri Aug 15 13:18:43 BST 2025","passed","Fri Aug 15 13:18:45 BST 2025","Cross-Browser and Visual Testing > Accessibility Testing","visual.spec.js","",""
"","2218","should filter data by threshold","Mobile Safari","Fri Aug 15 13:22:21 BST 2025","passed","Fri Aug 15 13:22:23 BST 2025","Data Processing Page","data.spec.js","",""
"","1340","should display calculator interface","Mobile Chrome","Fri Aug 15 13:21:01 BST 2025","passed","Fri Aug 15 13:21:03 BST 2025","Calculator Page","calculator.spec.js","",""
"","180","should work correctly in webkit","Mobile Chrome","Fri Aug 15 13:21:48 BST 2025","skipped","Fri Aug 15 13:21:48 BST 2025","Cross-Browser and Visual Testing > Cross-Browser Compatibility","visual.spec.js","",""
"","2552","should handle user statistics display","Mobile Safari","Fri Aug 15 13:22:37 BST 2025","passed","Fri Aug 15 13:22:39 BST 2025","User Management Page","users.spec.js","",""
"","2085","should export users to CSV","chromium","Fri Aug 15 13:17:00 BST 2025","passed","Fri Aug 15 13:17:02 BST 2025","User Management Page","users.spec.js","",""
"","2409","should validate data","Mobile Safari","Fri Aug 15 13:22:18 BST 2025","passed","Fri Aug 15 13:22:21 BST 2025","Data Processing Page","data.spec.js","",""
"","2353","should handle decimal numbers","chromium","Fri Aug 15 13:16:39 BST 2025","passed","Fri Aug 15 13:16:41 BST 2025","Calculator Page","calculator.spec.js","",""
"","9161","should display correctly on tablet","webkit","Fri Aug 15 13:20:48 BST 2025","broken","Fri Aug 15 13:20:57 BST 2025","Cross-Browser and Visual Testing > Responsive Design Testing","visual.spec.js","",""
"","6740","should work on mobile devices","webkit","Fri Aug 15 13:19:13 BST 2025","broken","Fri Aug 15 13:19:20 BST 2025","Calculator Page","calculator.spec.js","",""
